timeframe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2.8,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.9,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.0,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.1,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,Db:maj,Bb:maj,G:min,G:min7,G:min,G:min,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.2,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,Db:maj,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.3,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.4,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.5,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.6,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.7,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,Eb:maj,NA:,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.8,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,Eb:maj,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
3.9,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,C:min7,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
4.0,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,C:min7,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,G:min7,C:7,G:min7,NA:,G:min
4.1,G:min7,G:min7,G:min6,C:7,C:7,G:min,Eb:maj,G:min7,C:7,C:7,G:min,C:7,B:maj,G:min,G:min6,C:maj,C:7,C:7,C:7,C:7,C:maj,C:7,NA:,C:maj,C:min7,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,G:min7,C:7,G:min7,NA:,G:min
4.2,C:7,C:7,G:min6,C:7,C:7,G:min,Eb:maj,G:min7,C:7,C:7,G:min,C:7,B:maj,G:min,G:min6,C:maj,C:7,C:7,C:7,C:7,C:maj,C:7,NA:,C:maj,C:min7,NA:,NA:,G:min6,C:7,C:7,NA:,NA:,C:maj,C:7,C:7,NA:,G:min
4.3,C:7,C:7,G:min6,C:7,C:7,G:min,Eb:maj,G:min7,C:7,C:7,G:min,C:7,B:maj,G:min,G:min6,C:maj,C:7,C:7,C:7,C:7,C:maj,C:7,NA:,C:maj,C:7,NA:,NA:,G:min6,C:7,C:7,NA:,NA:,C:maj,C:7,C:7,NA:,G:min
